PrincessName,FirstMovieTitle,FirstMovieYear,MovieRuntimeMinutes,NumberOfSongs,HasSoloSong,HasDuet,HairColor,EyeColor,OutfitPrimaryColor,OutfitStyleEra,IsRoyalByBirth,HasAnimalSidekick,SidekickType,HasMagicalPowers,MagicType,MainSetting,IsBasedOnRealStory,CulturalOrigin,SpeaksToAnimals,FightsVillainDirectly,RomanticSubplot,MarriedByEnd,VillainName,VillainType,IMDB_Rating,RottenTomatoesScore,BoxOfficeMillions,AvgScreenTimeMinutes,NumMerchItemsOnAmazon,GoogleSearchIndex2024,InstagramFanPages,TikTokHashtagViewsMillions,Top3Hashtags,IsIconic,PopularityScore
Belle,Belle's Adventure,1991,104,3,Yes,Yes,Brown,Green,Purple,Victorian,Yes,No,None,Yes,Voice,Castle,Yes,French,No,No,No,Yes,Villain of Belle,None,6.3,80,384,36,734,41,116,854,#TeamBelle #LoveBelle #BelleForever,Yes,95
Rapunzel,Rapunzel's Adventure,1937,86,6,No,Yes,White,Brown,Pink,Ancient,Yes,No,None,No,Ice,Castle,No,Scottish,No,No,Yes,Yes,Villain of Rapunzel,Witch,8.0,60,597,60,1330,85,203,644,#TeamRapunzel #LoveRapunzel #RapunzelForever,No,68
Moana,Moana's Adventure,1950,75,2,No,No,White,Green,Green,Ancient,Yes,Yes,Fish,Yes,Dragon,Village,No,Scottish,No,No,No,Yes,Villain of Moana,Stepmother,6.7,71,934,41,3231,37,231,250,#TeamMoana #LoveMoana #MoanaForever,Yes,76
Raya,Raya's Adventure,1939,79,3,No,No,White,Blue,Pink,Ancient,No,Yes,Fish,Yes,Healing,Village,Yes,Nordic,No,No,No,Yes,Villain of Raya,Hunter,7.5,68,1105,38,483,92,262,400,#TeamRaya #LoveRaya #RayaForever,No,83
Aurora,Aurora's Adventure,1978,83,2,No,Yes,Brown,Grey,Yellow,Ancient,Yes,Yes,Dragon,Yes,Ocean,Forest,Yes,Nordic,No,No,Yes,Yes,Villain of Aurora,Warlord,6.3,88,800,52,4591,81,88,68,#TeamAurora #LoveAurora #AuroraForever,Yes,74
Moana,Moana's Adventure,1982,86,7,Yes,Yes,Blonde,Hazel,Green,Victorian,No,Yes,Dragon,No,None,Ocean,Yes,Chinese,Yes,No,Yes,Yes,Villain of Moana,Sorcerer,7.1,82,902,54,2787,41,111,91,#TeamMoana #LoveMoana #MoanaForever,Yes,68
Aurora,Aurora's Adventure,2002,101,7,No,Yes,Brown,Green,Purple,Modern,No,Yes,Horse,Yes,Dragon,Castle,Yes,French,No,No,No,Yes,Villain of Aurora,Hunter,8.9,94,518,25,4671,75,121,727,#TeamAurora #LoveAurora #AuroraForever,Yes,66
Tiana,Tiana's Adventure,1986,90,7,No,Yes,White,Blue,Green,Modern,Yes,Yes,Fish,No,None,Castle,Yes,Nordic,Yes,No,No,Yes,Villain of Tiana,None,6.1,89,213,32,2016,41,28,29,#TeamTiana #LoveTiana #TianaForever,No,88
Jasmine,Jasmine's Adventure,1939,101,6,No,No,Brown,Blue,Green,Ancient,No,Yes,None,Yes,Healing,Castle,Yes,French,Yes,Yes,No,No,Villain of Jasmine,Witch,8.3,85,752,44,3244,53,203,654,#TeamJasmine #LoveJasmine #JasmineForever,Yes,64
Moana,Moana's Adventure,1949,84,3,No,Yes,Blonde,Blue,Yellow,Medieval,No,No,Horse,Yes,Ice,Castle,Yes,Chinese,Yes,No,Yes,No,Villain of Moana,Sorcerer,8.9,73,425,44,2834,64,148,730,#TeamMoana #LoveMoana #MoanaForever,Yes,65
Mulan,Mulan's Adventure,1995,101,6,No,No,Black,Brown,Blue,Victorian,No,Yes,Horse,Yes,Ice,Ocean,Yes,African-American,No,No,No,No,Villain of Mulan,Warlord,7.7,77,1216,51,4849,90,239,343,#TeamMulan #LoveMulan #MulanForever,Yes,77
Moana,Moana's Adventure,1993,87,6,No,No,White,Hazel,Yellow,Medieval,Yes,Yes,None,No,Ice,Desert,No,Arabian,No,No,Yes,Yes,Villain of Moana,Stepmother,7.4,61,216,54,1432,29,94,971,#TeamMoana #LoveMoana #MoanaForever,Yes,98
Mulan,Mulan's Adventure,2019,85,7,No,Yes,Brown,Blue,Pink,Ancient,Yes,No,Dragon,Yes,Ice,Forest,Yes,Nordic,Yes,No,Yes,No,Villain of Mulan,Stepmother,8.0,98,755,33,2103,68,269,582,#TeamMulan #LoveMulan #MulanForever,No,63
Raya,Raya's Adventure,1980,105,5,Yes,No,Brown,Hazel,Pink,Medieval,Yes,No,Fish,Yes,Voice,Desert,No,French,Yes,No,Yes,Yes,Villain of Raya,Warlord,8.6,78,245,30,4156,86,121,117,#TeamRaya #LoveRaya #RayaForever,Yes,66
Ariel,Ariel's Adventure,1990,106,6,Yes,Yes,Red,Grey,Green,Modern,Yes,No,Fish,No,Ocean,Village,Yes,Polynesian,No,No,Yes,Yes,Villain of Ariel,Warlord,8.1,68,193,27,342,28,200,74,#TeamAriel #LoveAriel #ArielForever,Yes,77
Merida,Merida's Adventure,1997,101,6,No,No,Black,Hazel,Pink,Medieval,No,No,None,No,None,Castle,Yes,African-American,No,Yes,No,No,Villain of Merida,Hunter,7.0,95,1263,39,237,69,61,543,#TeamMerida #LoveMerida #MeridaForever,Yes,82
Tiana,Tiana's Adventure,2018,80,1,No,No,Brown,Green,Purple,Ancient,Yes,Yes,Horse,Yes,Ice,Ocean,No,African-American,No,No,Yes,Yes,Villain of Tiana,Sorcerer,6.6,99,407,47,4375,61,238,423,#TeamTiana #LoveTiana #TianaForever,No,57
Tiana,Tiana's Adventure,1963,88,5,No,Yes,Blonde,Hazel,Blue,Modern,No,No,Fish,No,None,Forest,Yes,French,Yes,No,Yes,No,Villain of Tiana,Stepmother,6.4,82,486,45,4755,34,229,988,#TeamTiana #LoveTiana #TianaForever,Yes,100
Raya,Raya's Adventure,1996,103,7,No,Yes,White,Brown,Green,Victorian,Yes,No,Fish,Yes,Voice,Mountains,No,Scottish,No,Yes,Yes,Yes,Villain of Raya,Stepmother,8.7,80,743,55,332,85,90,106,#TeamRaya #LoveRaya #RayaForever,No,87
Merida,Merida's Adventure,1954,78,6,No,No,Red,Brown,Green,Victorian,Yes,No,Dragon,Yes,Ocean,Ocean,Yes,Nordic,Yes,Yes,No,No,Villain of Merida,Sorcerer,6.5,78,373,40,4558,61,220,538,#TeamMerida #LoveMerida #MeridaForever,Yes,92
Moana,Moana's Adventure,1966,102,1,Yes,No,Red,Brown,Purple,Modern,Yes,Yes,Horse,No,Voice,Forest,No,French,No,No,No,Yes,Villain of Moana,Stepmother,7.6,79,361,57,337,95,110,567,#TeamMoana #LoveMoana #MoanaForever,Yes,56
Jasmine,Jasmine's Adventure,1938,107,3,Yes,No,Black,Brown,Green,Modern,Yes,No,None,Yes,None,Ocean,No,Chinese,Yes,No,No,No,Villain of Jasmine,Stepmother,7.3,81,1285,20,4074,65,240,356,#TeamJasmine #LoveJasmine #JasmineForever,Yes,55
Jasmine,Jasmine's Adventure,1940,98,7,Yes,Yes,Red,Blue,Blue,Medieval,Yes,Yes,Fish,No,None,Castle,Yes,Native American,No,No,No,Yes,Villain of Jasmine,None,8.8,91,476,47,1281,33,261,305,#TeamJasmine #LoveJasmine #JasmineForever,Yes,93
Snow White,Snow White's Adventure,1953,94,1,No,Yes,Brown,Brown,Purple,Modern,No,Yes,Horse,No,Healing,Forest,Yes,Scottish,Yes,No,No,Yes,Villain of Snow White,Stepmother,7.4,76,1019,58,1109,70,223,113,#TeamSnow White #LoveSnow White #Snow WhiteForever,No,98
Anna,Anna's Adventure,1943,88,7,No,No,Brown,Grey,Yellow,Medieval,No,No,Fish,Yes,Voice,Ocean,Yes,Nordic,Yes,Yes,Yes,No,Villain of Anna,Witch,7.5,86,392,48,677,88,85,421,#TeamAnna #LoveAnna #AnnaForever,No,62
Raya,Raya's Adventure,1975,106,2,Yes,Yes,Red,Green,Purple,Victorian,No,Yes,Dragon,Yes,Healing,Desert,Yes,African-American,Yes,Yes,No,No,Villain of Raya,Witch,6.1,73,1020,35,3843,72,28,191,#TeamRaya #LoveRaya #RayaForever,Yes,81
Pocahontas,Pocahontas's Adventure,1942,83,3,No,No,Black,Brown,Blue,Ancient,Yes,No,Horse,Yes,None,Castle,No,African-American,No,Yes,Yes,No,Villain of Pocahontas,Sorcerer,8.3,92,791,26,466,82,76,915,#TeamPocahontas #LovePocahontas #PocahontasForever,Yes,70
Aurora,Aurora's Adventure,2010,84,4,Yes,No,Black,Blue,Pink,Medieval,No,No,Fish,Yes,Healing,Desert,No,African-American,No,No,No,Yes,Villain of Aurora,Witch,8.8,83,491,52,667,30,166,868,#TeamAurora #LoveAurora #AuroraForever,No,98
Ariel,Ariel's Adventure,1997,87,1,No,No,Blonde,Brown,Green,Modern,Yes,Yes,None,No,Ice,Village,Yes,Chinese,No,Yes,Yes,No,Villain of Ariel,Sorcerer,7.0,94,642,23,1309,22,200,630,#TeamAriel #LoveAriel #ArielForever,Yes,91
Moana,Moana's Adventure,1985,95,5,Yes,No,Red,Grey,Yellow,Victorian,Yes,No,Dragon,No,Ice,Village,Yes,African-American,Yes,Yes,Yes,Yes,Villain of Moana,Witch,6.3,69,942,53,1653,95,101,718,#TeamMoana #LoveMoana #MoanaForever,No,62
Snow White,Snow White's Adventure,2011,75,5,Yes,Yes,Red,Blue,Purple,Victorian,Yes,No,Dragon,No,Ice,Castle,No,Scottish,Yes,Yes,No,Yes,Villain of Snow White,None,7.6,77,1122,56,3022,44,79,846,#TeamSnow White #LoveSnow White #Snow WhiteForever,Yes,81
Tiana,Tiana's Adventure,1950,98,5,No,Yes,Red,Grey,Yellow,Modern,No,Yes,Horse,Yes,Voice,Desert,No,Arabian,No,Yes,No,Yes,Villain of Tiana,Sorcerer,6.6,73,945,23,2831,55,179,812,#TeamTiana #LoveTiana #TianaForever,No,88
Raya,Raya's Adventure,1971,87,7,No,Yes,White,Grey,Green,Ancient,No,No,Fish,No,None,Ocean,No,Polynesian,No,Yes,Yes,Yes,Villain of Raya,Warlord,8.6,96,791,39,1252,97,187,146,#TeamRaya #LoveRaya #RayaForever,No,55
Belle,Belle's Adventure,1993,103,1,Yes,Yes,Black,Hazel,Yellow,Victorian,Yes,Yes,Dragon,Yes,Ocean,Mountains,Yes,African-American,Yes,No,Yes,Yes,Villain of Belle,Warlord,7.0,77,968,34,3514,52,49,452,#TeamBelle #LoveBelle #BelleForever,Yes,52
Moana,Moana's Adventure,1999,75,2,Yes,Yes,Black,Green,Blue,Modern,No,Yes,Horse,No,Ocean,Village,No,Arabian,Yes,Yes,No,Yes,Villain of Moana,Hunter,7.6,80,247,30,3959,66,160,704,#TeamMoana #LoveMoana #MoanaForever,No,97
Rapunzel,Rapunzel's Adventure,2017,77,2,Yes,No,Black,Green,Yellow,Modern,No,Yes,Horse,Yes,Healing,Forest,No,Polynesian,No,Yes,No,No,Villain of Rapunzel,Witch,6.7,93,626,58,853,50,144,428,#TeamRapunzel #LoveRapunzel #RapunzelForever,Yes,98
Ariel,Ariel's Adventure,1965,109,7,No,Yes,Blonde,Hazel,Blue,Victorian,No,No,Fish,No,None,Forest,No,Scottish,No,No,Yes,No,Villain of Ariel,Hunter,8.0,92,1010,46,3601,68,273,136,#TeamAriel #LoveAriel #ArielForever,No,76
Snow White,Snow White's Adventure,1965,109,4,No,Yes,Red,Grey,Purple,Victorian,No,Yes,Dragon,Yes,Ocean,Mountains,Yes,Native American,No,No,No,Yes,Villain of Snow White,Warlord,6.9,67,149,58,123,56,120,791,#TeamSnow White #LoveSnow White #Snow WhiteForever,No,73
Ariel,Ariel's Adventure,1977,80,2,Yes,No,White,Grey,Purple,Medieval,Yes,Yes,Fish,Yes,Healing,Mountains,Yes,French,No,Yes,No,No,Villain of Ariel,Warlord,6.6,77,664,25,1097,91,214,71,#TeamAriel #LoveAriel #ArielForever,Yes,100
Cinderella,Cinderella's Adventure,2004,100,7,No,No,Red,Blue,Purple,Victorian,Yes,No,Dragon,Yes,Ice,Mountains,No,African-American,Yes,Yes,No,Yes,Villain of Cinderella,Hunter,8.4,62,462,20,1106,63,298,802,#TeamCinderella #LoveCinderella #CinderellaForever,No,84
Snow White,Snow White's Adventure,2014,95,3,No,No,White,Grey,Purple,Victorian,Yes,No,None,No,Dragon,Mountains,Yes,French,Yes,Yes,Yes,Yes,Villain of Snow White,Warlord,7.9,73,152,49,3117,97,211,35,#TeamSnow White #LoveSnow White #Snow WhiteForever,Yes,80
Mulan,Mulan's Adventure,1951,101,2,Yes,Yes,Blonde,Brown,Purple,Ancient,Yes,Yes,None,Yes,Ocean,Village,Yes,Native American,No,Yes,Yes,Yes,Villain of Mulan,Witch,7.6,64,448,41,3092,47,228,151,#TeamMulan #LoveMulan #MulanForever,No,60
Cinderella,Cinderella's Adventure,1983,94,4,No,No,Red,Hazel,Purple,Modern,No,Yes,Dragon,No,None,Desert,No,French,No,No,No,No,Villain of Cinderella,None,6.1,80,761,24,4768,74,121,547,#TeamCinderella #LoveCinderella #CinderellaForever,Yes,84
Belle,Belle's Adventure,2014,88,1,No,Yes,Red,Grey,Pink,Victorian,Yes,No,Fish,No,Ice,Forest,Yes,Polynesian,Yes,Yes,Yes,Yes,Villain of Belle,Warlord,8.3,90,781,54,61,69,10,597,#TeamBelle #LoveBelle #BelleForever,Yes,82
Anna,Anna's Adventure,1995,87,1,Yes,Yes,White,Green,Green,Modern,Yes,Yes,Horse,Yes,None,Village,Yes,Arabian,No,Yes,Yes,Yes,Villain of Anna,Sorcerer,6.4,93,958,28,154,23,198,283,#TeamAnna #LoveAnna #AnnaForever,Yes,54
Mulan,Mulan's Adventure,2003,85,7,Yes,Yes,Black,Green,Pink,Ancient,Yes,No,Fish,No,Ice,Desert,Yes,Scottish,No,No,Yes,No,Villain of Mulan,Hunter,7.2,89,166,40,356,79,294,806,#TeamMulan #LoveMulan #MulanForever,Yes,71
Snow White,Snow White's Adventure,1947,90,6,Yes,No,Red,Grey,Blue,Ancient,No,Yes,None,Yes,Voice,Mountains,Yes,Nordic,No,No,Yes,Yes,Villain of Snow White,None,9.0,75,396,42,2973,30,183,704,#TeamSnow White #LoveSnow White #Snow WhiteForever,Yes,91
Anna,Anna's Adventure,1972,76,3,No,Yes,White,Green,Pink,Modern,Yes,No,None,No,Dragon,Castle,Yes,Nordic,Yes,No,Yes,Yes,Villain of Anna,Witch,7.2,89,918,32,2919,66,62,225,#TeamAnna #LoveAnna #AnnaForever,Yes,90
Ariel,Ariel's Adventure,1948,84,1,Yes,Yes,White,Brown,Blue,Ancient,Yes,Yes,Dragon,No,None,Mountains,No,Scottish,Yes,Yes,Yes,Yes,Villain of Ariel,Witch,8.5,65,652,31,1958,31,67,563,#TeamAriel #LoveAriel #ArielForever,Yes,99
Anna,Anna's Adventure,1976,109,1,No,No,Brown,Blue,Pink,Modern,Yes,No,Horse,Yes,Ocean,Village,Yes,Polynesian,No,No,Yes,No,Villain of Anna,Witch,6.2,60,1233,41,493,87,253,63,#TeamAnna #LoveAnna #AnnaForever,Yes,93
Ariel,Ariel's Adventure,1956,101,3,No,Yes,Red,Blue,Yellow,Medieval,No,Yes,Fish,No,Healing,Mountains,Yes,Nordic,No,Yes,Yes,No,Villain of Ariel,Stepmother,8.1,74,215,53,4050,69,245,802,#TeamAriel #LoveAriel #ArielForever,No,69
Merida,Merida's Adventure,1961,75,4,Yes,Yes,Blonde,Green,Pink,Modern,Yes,No,None,Yes,None,Ocean,Yes,Arabian,No,No,Yes,Yes,Villain of Merida,Sorcerer,8.9,88,1111,36,2452,68,165,526,#TeamMerida #LoveMerida #MeridaForever,No,59
Raya,Raya's Adventure,1999,92,5,No,No,White,Brown,Purple,Modern,Yes,No,Dragon,Yes,Healing,Desert,No,Chinese,No,Yes,Yes,No,Villain of Raya,Sorcerer,8.5,63,270,37,4353,55,52,538,#TeamRaya #LoveRaya #RayaForever,Yes,80
Moana,Moana's Adventure,1956,96,3,Yes,No,Brown,Hazel,Purple,Medieval,No,Yes,None,Yes,Ocean,Castle,Yes,Scottish,No,Yes,Yes,No,Villain of Moana,Hunter,6.1,76,1013,50,3677,75,92,605,#TeamMoana #LoveMoana #MoanaForever,No,66
Elsa,Elsa's Adventure,1961,96,7,Yes,No,Brown,Grey,Pink,Modern,No,No,Dragon,Yes,Dragon,Forest,Yes,African-American,No,Yes,Yes,Yes,Villain of Elsa,Hunter,6.9,89,757,59,4437,84,145,165,#TeamElsa #LoveElsa #ElsaForever,Yes,59
Snow White,Snow White's Adventure,2014,86,5,Yes,Yes,Black,Blue,Pink,Ancient,Yes,Yes,Dragon,Yes,Dragon,Forest,No,Polynesian,No,No,Yes,Yes,Villain of Snow White,Sorcerer,7.3,61,248,37,3774,59,56,656,#TeamSnow White #LoveSnow White #Snow WhiteForever,No,85
Anna,Anna's Adventure,2000,95,7,Yes,Yes,Blonde,Brown,Purple,Victorian,Yes,Yes,Dragon,Yes,Dragon,Mountains,No,Chinese,No,No,No,No,Villain of Anna,None,8.2,73,959,20,3500,41,110,558,#TeamAnna #LoveAnna #AnnaForever,Yes,80
Aurora,Aurora's Adventure,2016,76,2,No,No,Black,Hazel,Yellow,Victorian,No,Yes,None,No,Voice,Mountains,Yes,Polynesian,Yes,No,No,Yes,Villain of Aurora,Stepmother,8.5,87,987,52,4686,83,277,428,#TeamAurora #LoveAurora #AuroraForever,No,75
Merida,Merida's Adventure,1977,107,1,Yes,Yes,Red,Brown,Green,Medieval,Yes,No,Dragon,Yes,Dragon,Desert,Yes,African-American,No,Yes,No,Yes,Villain of Merida,Witch,6.3,96,790,54,212,28,205,288,#TeamMerida #LoveMerida #MeridaForever,Yes,81
Ariel,Ariel's Adventure,1999,107,7,Yes,No,Black,Blue,Purple,Victorian,Yes,Yes,Horse,No,Healing,Castle,No,African-American,No,Yes,Yes,Yes,Villain of Ariel,Warlord,6.5,89,815,39,3363,54,254,303,#TeamAriel #LoveAriel #ArielForever,Yes,81
Merida,Merida's Adventure,2001,80,5,No,Yes,Red,Hazel,Purple,Modern,Yes,Yes,Dragon,No,Dragon,Village,No,Scottish,Yes,Yes,No,Yes,Villain of Merida,Warlord,6.6,70,994,51,943,58,151,950,#TeamMerida #LoveMerida #MeridaForever,No,88
Pocahontas,Pocahontas's Adventure,1948,70,1,Yes,No,White,Hazel,Green,Medieval,Yes,No,Horse,Yes,Ocean,Desert,No,African-American,No,Yes,Yes,Yes,Villain of Pocahontas,Stepmother,6.3,97,511,39,1761,80,214,703,#TeamPocahontas #LovePocahontas #PocahontasForever,No,54
Belle,Belle's Adventure,1987,91,5,Yes,No,White,Blue,Green,Modern,Yes,No,None,Yes,Ice,Ocean,Yes,African-American,Yes,No,No,Yes,Villain of Belle,Sorcerer,8.8,68,1024,23,4732,81,46,706,#TeamBelle #LoveBelle #BelleForever,No,89
Mulan,Mulan's Adventure,2017,110,3,Yes,No,Brown,Blue,Yellow,Ancient,No,Yes,Dragon,No,Ice,Forest,Yes,Nordic,Yes,No,No,No,Villain of Mulan,Sorcerer,6.6,80,1069,24,1295,85,264,554,#TeamMulan #LoveMulan #MulanForever,Yes,75
Rapunzel,Rapunzel's Adventure,2006,93,6,Yes,No,Blonde,Hazel,Green,Modern,Yes,No,Fish,No,Healing,Castle,Yes,Native American,No,No,Yes,Yes,Villain of Rapunzel,None,8.6,69,1241,47,4163,76,209,578,#TeamRapunzel #LoveRapunzel #RapunzelForever,No,75
Elsa,Elsa's Adventure,1963,109,3,No,Yes,Red,Green,Purple,Medieval,No,No,None,No,Voice,Ocean,Yes,Nordic,No,Yes,Yes,No,Villain of Elsa,Warlord,8.0,91,1112,58,2329,94,60,73,#TeamElsa #LoveElsa #ElsaForever,Yes,65
Elsa,Elsa's Adventure,2000,81,3,No,Yes,Blonde,Blue,Blue,Modern,Yes,No,None,Yes,Dragon,Forest,Yes,Polynesian,No,No,No,Yes,Villain of Elsa,Stepmother,6.7,68,181,51,4884,54,52,594,#TeamElsa #LoveElsa #ElsaForever,No,82
Merida,Merida's Adventure,2013,102,1,Yes,No,Red,Grey,Yellow,Victorian,Yes,No,Fish,Yes,None,Village,No,Nordic,Yes,Yes,Yes,No,Villain of Merida,Hunter,6.9,60,372,52,1206,84,293,202,#TeamMerida #LoveMerida #MeridaForever,Yes,73
Aurora,Aurora's Adventure,2014,108,5,No,Yes,Red,Hazel,Yellow,Medieval,Yes,Yes,Fish,No,Ice,Castle,Yes,Nordic,Yes,Yes,Yes,No,Villain of Aurora,Stepmother,7.2,78,933,47,4354,22,47,746,#TeamAurora #LoveAurora #AuroraForever,No,52
Moana,Moana's Adventure,1947,106,7,No,Yes,Black,Brown,Pink,Medieval,No,Yes,Fish,No,Dragon,Desert,Yes,African-American,No,Yes,No,No,Villain of Moana,Warlord,7.7,76,396,41,3685,39,133,878,#TeamMoana #LoveMoana #MoanaForever,Yes,87
Mulan,Mulan's Adventure,1944,72,4,No,No,White,Blue,Yellow,Modern,No,Yes,None,Yes,Ocean,Castle,No,African-American,Yes,No,No,No,Villain of Mulan,None,7.1,71,565,41,2538,84,63,496,#TeamMulan #LoveMulan #MulanForever,No,68
Mulan,Mulan's Adventure,2015,105,1,No,No,Blonde,Brown,Green,Medieval,Yes,No,None,No,Healing,Village,Yes,Scottish,Yes,Yes,No,No,Villain of Mulan,Sorcerer,7.1,83,530,56,2395,81,126,919,#TeamMulan #LoveMulan #MulanForever,No,64
Ariel,Ariel's Adventure,1989,83,1,No,No,Black,Blue,Blue,Medieval,No,Yes,Fish,Yes,Voice,Village,Yes,Polynesian,No,Yes,Yes,No,Villain of Ariel,Stepmother,7.6,91,523,37,1473,60,269,883,#TeamAriel #LoveAriel #ArielForever,No,88
Ariel,Ariel's Adventure,1983,104,2,Yes,No,Blonde,Blue,Pink,Victorian,Yes,Yes,None,No,None,Ocean,Yes,Scottish,No,Yes,Yes,Yes,Villain of Ariel,Witch,7.4,63,708,35,1442,20,146,299,#TeamAriel #LoveAriel #ArielForever,Yes,55
Tiana,Tiana's Adventure,1967,98,6,Yes,Yes,Black,Brown,Pink,Modern,Yes,Yes,Fish,Yes,Dragon,Castle,Yes,Chinese,No,No,No,Yes,Villain of Tiana,Sorcerer,7.5,93,1019,52,1657,54,281,587,#TeamTiana #LoveTiana #TianaForever,No,72
Rapunzel,Rapunzel's Adventure,1961,99,3,No,Yes,White,Blue,Pink,Ancient,No,No,None,No,Voice,Village,No,Native American,No,Yes,Yes,No,Villain of Rapunzel,Stepmother,7.9,100,239,53,2482,39,179,246,#TeamRapunzel #LoveRapunzel #RapunzelForever,Yes,70
Snow White,Snow White's Adventure,1943,103,7,No,No,Blonde,Blue,Purple,Ancient,No,No,Horse,Yes,Voice,Desert,Yes,Nordic,Yes,No,No,Yes,Villain of Snow White,Warlord,8.4,69,167,40,1732,40,223,909,#TeamSnow White #LoveSnow White #Snow WhiteForever,Yes,53
Cinderella,Cinderella's Adventure,1955,89,6,No,Yes,Brown,Green,Blue,Modern,Yes,Yes,None,No,Healing,Village,Yes,French,Yes,Yes,No,No,Villain of Cinderella,None,6.6,69,447,36,3843,76,217,924,#TeamCinderella #LoveCinderella #CinderellaForever,Yes,89
Mulan,Mulan's Adventure,1972,107,1,No,No,Black,Green,Green,Modern,No,No,Dragon,Yes,None,Village,Yes,Nordic,Yes,No,No,No,Villain of Mulan,Witch,6.2,85,489,46,3145,34,172,340,#TeamMulan #LoveMulan #MulanForever,Yes,70
Jasmine,Jasmine's Adventure,1991,95,7,Yes,Yes,White,Green,Blue,Modern,No,Yes,Horse,Yes,Ice,Village,Yes,Nordic,No,No,Yes,Yes,Villain of Jasmine,Witch,7.2,76,745,51,601,33,70,901,#TeamJasmine #LoveJasmine #JasmineForever,No,64
Ariel,Ariel's Adventure,1995,81,3,No,Yes,Red,Hazel,Yellow,Victorian,Yes,Yes,None,Yes,Ocean,Desert,No,Chinese,Yes,No,No,Yes,Villain of Ariel,None,6.6,91,825,26,4799,71,110,976,#TeamAriel #LoveAriel #ArielForever,No,52
Mulan,Mulan's Adventure,1993,93,2,Yes,No,Black,Grey,Yellow,Medieval,Yes,No,Horse,No,Ice,Village,Yes,Native American,No,No,No,No,Villain of Mulan,Witch,8.9,78,1217,37,3422,21,191,910,#TeamMulan #LoveMulan #MulanForever,No,52
Mulan,Mulan's Adventure,1991,73,1,Yes,No,Brown,Brown,Purple,Medieval,No,No,None,Yes,Voice,Ocean,No,Polynesian,Yes,Yes,Yes,Yes,Villain of Mulan,Stepmother,8.0,71,157,28,2307,29,251,589,#TeamMulan #LoveMulan #MulanForever,No,74
Elsa,Elsa's Adventure,2010,82,6,No,No,Black,Grey,Pink,Modern,No,Yes,Dragon,Yes,Dragon,Castle,No,Nordic,Yes,Yes,No,No,Villain of Elsa,Witch,7.7,61,1180,43,1197,71,54,314,#TeamElsa #LoveElsa #ElsaForever,Yes,70
Anna,Anna's Adventure,1951,87,1,No,Yes,Brown,Brown,Purple,Ancient,Yes,No,Horse,Yes,Dragon,Village,No,Nordic,Yes,No,Yes,No,Villain of Anna,None,7.9,82,1078,32,963,46,257,175,#TeamAnna #LoveAnna #AnnaForever,No,75
Tiana,Tiana's Adventure,1965,100,3,No,No,Black,Grey,Purple,Modern,No,Yes,None,No,None,Desert,Yes,Scottish,Yes,Yes,Yes,Yes,Villain of Tiana,None,6.7,87,1237,41,3192,34,179,833,#TeamTiana #LoveTiana #TianaForever,Yes,81
Elsa,Elsa's Adventure,1938,91,1,Yes,Yes,Brown,Grey,Yellow,Medieval,Yes,Yes,Fish,No,None,Castle,No,Scottish,Yes,No,No,Yes,Villain of Elsa,Stepmother,7.1,87,330,55,2022,26,261,950,#TeamElsa #LoveElsa #ElsaForever,No,69
Anna,Anna's Adventure,1996,103,4,No,Yes,Brown,Hazel,Purple,Medieval,Yes,Yes,None,No,Ice,Village,No,African-American,No,Yes,Yes,No,Villain of Anna,Sorcerer,7.3,86,1091,41,2019,76,294,821,#TeamAnna #LoveAnna #AnnaForever,No,90
Raya,Raya's Adventure,2013,93,4,Yes,Yes,Blonde,Brown,Blue,Modern,No,Yes,Dragon,No,None,Mountains,Yes,French,Yes,No,Yes,Yes,Villain of Raya,Hunter,6.4,82,331,44,4468,37,17,783,#TeamRaya #LoveRaya #RayaForever,No,69
Jasmine,Jasmine's Adventure,2000,70,4,No,Yes,Black,Green,Pink,Ancient,No,Yes,Horse,Yes,Healing,Castle,Yes,Polynesian,No,Yes,No,Yes,Villain of Jasmine,Sorcerer,8.9,64,711,45,4518,93,56,632,#TeamJasmine #LoveJasmine #JasmineForever,Yes,73
Elsa,Elsa's Adventure,1965,78,6,Yes,Yes,Black,Green,Yellow,Ancient,No,No,None,Yes,Ocean,Ocean,No,African-American,No,No,No,Yes,Villain of Elsa,Witch,7.6,88,1113,39,599,78,35,917,#TeamElsa #LoveElsa #ElsaForever,No,93
Belle,Belle's Adventure,2003,93,6,No,Yes,Black,Green,Pink,Ancient,No,No,Horse,No,Voice,Forest,No,Chinese,Yes,Yes,No,Yes,Villain of Belle,Sorcerer,8.4,93,1139,48,4979,54,49,834,#TeamBelle #LoveBelle #BelleForever,Yes,90
Elsa,Elsa's Adventure,1999,103,2,Yes,Yes,Black,Green,Blue,Modern,Yes,No,Fish,No,Ice,Forest,No,French,Yes,No,Yes,Yes,Villain of Elsa,Witch,6.6,71,392,42,1663,54,56,133,#TeamElsa #LoveElsa #ElsaForever,Yes,85
Mulan,Mulan's Adventure,1987,94,5,No,Yes,Black,Green,Pink,Victorian,Yes,Yes,Horse,Yes,Dragon,Ocean,Yes,African-American,No,No,Yes,Yes,Villain of Mulan,Warlord,8.7,90,1252,24,4998,57,236,585,#TeamMulan #LoveMulan #MulanForever,Yes,55
